track,html_css_js,scikitlearn,git,powerbi,numpypandas,unity,mysql,blender,arduinoraspberrypi,mongodb,team_role_excitement,game_career_preference,health_app_contribution2,interactive_3d_animations,intelligent_techniques,ml_models,advanced_data_structures,database_project,software_testing,scm_crm_bi_systems,healthcare_standards,lowlevel_3d_graphics,software_project,network_infrastructure2,microcontroller_programming,business_requirements_analysis,efficient_algorithms,system_security_reliability,system_integration,fullstack_web_developer,data_engineer,network_administrator,animator_3d,bi_consultant,healthcare_info_systems,it_project_manager,ml_engineer
MM - Multimedia Systems,1,1,2,1,2,4,2,3,1,2,Coding the core software components and optimizing their performance,Game QA tester,Developing software components according the requirements,4,2,2,3,2,4,1,1,4,2,1,1,2,1,1,1,2,2,1,3,1,1,3,2
EB - Electronic Business Systems,2,2,2,2,2,3,2,2,3,3,Analyzing complex datasets to uncover meaningful insights and patterns,Game QA tester,Ensuring that application is secured and safe from cyber threats,4,3,2,2,3,3,3,3,3,2,2,2,3,2,2,3,2,2,2,3,3,3,3,2
MS - Management Information Systems,2,4,3,4,4,4,3,2,4,3,Evaluating the system architecture and identifying potential vulnerabilities,Game QA tester,Ensuring compliance with healthcare information standards requirements,1,4,2,2,2,3,3,1,2,2,2,3,4,4,4,4,1,2,2,1,3,1,4,2
MM - Multimedia Systems,2,1,2,1,2,4,2,4,1,1,"Managing the project timeline, requirements, and stakeholder communication",3D animator/modeller,Ensuring that application is secured and safe from cyber threats,4,3,2,3,1,1,1,1,3,1,2,2,1,1,1,1,2,2,2,4,1,1,1,1
MM - Multimedia Systems,2,1,3,1,4,4,3,4,3,2,"Managing the project timeline, requirements, and stakeholder communication",3D animator/modeller,Ensuring compliance with healthcare information standards requirements,4,4,2,3,2,4,4,3,4,2,1,3,4,3,2,2,3,2,1,4,3,3,4,3
HT - Health Information Technology,2,2,2,2,2,2,2,2,2,2,Evaluating the system architecture and identifying potential vulnerabilities,3D animator/modeller,Ensuring compliance with healthcare information standards requirements,4,3,2,2,2,3,2,2,4,2,2,2,2,2,2,2,1,3,2,3,1,4,1,2
MM - Multimedia Systems,2,1,4,1,1,4,4,4,1,1,Evaluating the system architecture and identifying potential vulnerabilities,3D animator/modeller,Ensuring that application is secured and safe from cyber threats,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,1,1,4,4,4,4,4,4
DB - Database and Intelligent System,2,1,1,2,3,1,4,4,4,4,Analyzing complex datasets to uncover meaningful insights and patterns,3D animator/modeller,Designing the database schema and infrastructure to store the data,4,2,2,3,4,1,2,2,4,2,1,1,2,1,1,3,1,3,1,4,2,3,3,1
SE - Software Engineering,3,1,1,1,3,2,4,1,1,1,"Managing the project timeline, requirements, and stakeholder communication",3D animator/modeller,Developing data analytics and predictive models,1,1,1,4,4,4,4,1,1,4,1,1,4,4,4,4,2,3,1,1,4,1,4,1
CS - Computer Science,3,3,3,2,3,3,3,3,3,3,Coding the core software components and optimizing their performance,3D animator/modeller,Developing software components according the requirements,3,3,4,4,3,3,2,1,2,2,2,2,3,3,2,1,2,3,2,3,2,1,3,3
DB - Database and Intelligent System,3,1,2,4,3,2,4,2,1,4,Analyzing complex datasets to uncover meaningful insights and patterns,Business Analyst,Designing the database schema and infrastructure to store the data,3,3,4,4,4,4,4,1,1,3,2,1,4,3,3,4,1,4,1,4,4,1,4,3
MM - Multimedia Systems,3,2,2,2,3,4,3,4,3,2,Evaluating the system architecture and identifying potential vulnerabilities,Game QA tester,Developing data analytics and predictive models,4,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
DB - Database and Intelligent System,3,1,2,3,3,1,3,4,3,3,"Managing the project timeline, requirements, and stakeholder communication",Business Analyst,Ensuring that application is secured and safe from cyber threats,4,4,3,4,3,4,3,3,2,4,3,2,3,2,3,3,1,2,2,3,3,3,4,1
MM - Multimedia Systems,3,1,2,1,2,4,3,4,1,3,Evaluating the system architecture and identifying potential vulnerabilities,3D animator/modeller,Developing software components according the requirements,4,3,3,3,2,2,1,1,4,3,2,2,3,3,2,2,3,2,1,4,2,2,3,4
SE - Software Engineering,3,2,4,3,3,3,4,1,1,2,"Managing the project timeline, requirements, and stakeholder communication",Game QA tester,Ensuring compliance with healthcare information standards requirements,1,4,3,2,3,4,3,2,1,3,1,1,4,1,2,3,1,1,1,1,2,2,3,2
CS - Computer Science,3,3,3,2,3,1,4,2,2,4,Coding the core software components and optimizing their performance,Game QA tester,Developing data analytics and predictive models,2,3,4,4,4,4,3,2,2,3,1,3,4,4,2,3,4,4,1,2,2,2,3,4
CS - Computer Science,3,3,2,1,3,2,3,1,4,2,Evaluating the system architecture and identifying potential vulnerabilities,Game network engineer,Developing data analytics and predictive models,1,3,4,3,3,3,1,1,1,1,2,4,2,3,2,3,2,3,3,1,1,1,1,3
DB - Database and Intelligent System,3,1,1,3,2,2,4,1,1,4,Analyzing complex datasets to uncover meaningful insights and patterns,Business Analyst,Developing data analytics and predictive models,3,1,4,3,4,2,3,2,2,2,1,1,4,2,1,4,2,4,1,1,4,1,2,2
MM - Multimedia Systems,3,2,4,1,2,4,3,4,3,3,Coding the core software components and optimizing their performance,3D animator/modeller,Developing software components according the requirements,4,3,1,4,3,3,2,3,4,2,3,3,2,3,4,2,3,3,2,4,2,2,1,3
EB - Electronic Business Systems,3,1,1,1,2,1,3,1,2,1,"Managing the project timeline, requirements, and stakeholder communication",Business Analyst,Ensuring compliance with healthcare information standards requirements,1,2,1,1,2,2,3,2,1,1,1,1,2,1,1,1,1,1,1,1,3,2,2,1
CS - Computer Science,3,4,4,3,4,4,4,3,3,4,Analyzing complex datasets to uncover meaningful insights and patterns,Business Analyst,Developing data analytics and predictive models,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,2,2,4,3,3,4
SE - Software Engineering,3,1,1,1,1,1,3,1,2,3,Coding the core software components and optimizing their performance,Game QA tester,Developing software components according the requirements,2,2,2,2,3,3,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2
EB - Electronic Business Systems,3,1,2,1,3,1,4,2,2,2,Analyzing complex datasets to uncover meaningful insights and patterns,Game QA tester,Developing software components according the requirements,1,1,2,2,3,3,3,3,1,1,2,1,2,3,2,3,3,3,2,1,4,3,4,2
CS - Computer Science,3,3,3,2,3,3,3,4,2,2,Coding the core software components and optimizing their performance,Game QA tester,Developing software components according the requirements,3,4,3,3,2,3,2,1,3,3,2,2,3,3,2,3,2,2,1,3,3,1,3,4
DB - Database and Intelligent System,4,2,2,4,3,2,4,4,1,4,Analyzing complex datasets to uncover meaningful insights and patterns,3D animator/modeller,Developing data analytics and predictive models,4,3,3,3,4,2,3,1,3,3,1,1,3,3,3,3,4,3,1,2,3,2,2,2
EB - Electronic Business Systems,4,3,3,3,2,2,4,2,3,3,Analyzing complex datasets to uncover meaningful insights and patterns,Game QA tester,Developing data analytics and predictive models,4,4,4,3,4,4,4,3,3,3,4,3,3,4,3,2,3,2,3,3,4,3,3,3
MM - Multimedia Systems,4,1,2,1,4,3,1,4,1,1,"Managing the project timeline, requirements, and stakeholder communication",3D animator/modeller,Ensuring compliance with healthcare information standards requirements,4,2,4,2,2,3,3,1,4,2,1,1,4,2,1,2,1,1,1,4,4,1,3,1
CS - Computer Science,4,3,3,1,2,4,3,4,3,3,Coding the core software components and optimizing their performance,3D animator/modeller,Developing software components according the requirements,3,4,3,3,3,3,4,2,4,2,2,3,3,3,2,3,4,3,1,4,3,2,2,3
SE - Software Engineering,4,2,1,2,1,1,3,2,2,3,"Managing the project timeline, requirements, and stakeholder communication",Business Analyst,Developing software components according the requirements,3,3,3,3,3,3,4,2,1,3,3,1,4,2,2,4,2,3,2,1,4,3,4,1
DB - Database and Intelligent System,4,1,4,4,3,3,4,2,4,4,Analyzing complex datasets to uncover meaningful insights and patterns,Business Analyst,Developing data analytics and predictive models,3,4,3,3,4,3,3,3,3,4,4,3,4,4,3,4,3,4,2,2,2,2,3,4
SE - Software Engineering,4,1,4,2,3,3,4,3,3,3,Evaluating the system architecture and identifying potential vulnerabilities,Game QA tester,Ensuring compliance with healthcare information standards requirements,3,3,2,3,2,4,2,3,2,4,2,3,4,3,4,4,3,4,3,2,2,3,4,4
CS - Computer Science,4,2,4,2,3,2,4,3,1,2,"Managing the project timeline, requirements, and stakeholder communication",3D animator/modeller,Ensuring compliance with healthcare information standards requirements,3,3,3,4,3,4,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,2,3,3
CS - Computer Science,4,4,3,1,2,1,3,1,1,2,Coding the core software components and optimizing their performance,3D animator/modeller,Developing software components according the requirements,2,2,3,3,3,3,1,1,1,2,1,1,1,2,2,2,3,3,1,2,1,1,1,4
MS - Management Information Systems,4,4,4,4,4,4,4,4,4,4,Evaluating the system architecture and identifying potential vulnerabilities,Business Analyst,Ensuring compliance with healthcare information standards requirements,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
DB - Database and Intelligent System,4,4,4,4,4,1,4,1,1,4,Analyzing complex datasets to uncover meaningful insights and patterns,Business Analyst,Developing data analytics and predictive models,1,4,4,2,3,1,3,1,1,3,1,1,3,2,1,4,1,4,1,1,3,1,2,4
CS - Computer Science,4,3,3,3,4,3,3,4,3,3,Evaluating the system architecture and identifying potential vulnerabilities,3D animator/modeller,Ensuring compliance with healthcare information standards requirements,4,3,4,3,3,4,2,2,3,4,2,2,4,3,4,4,3,3,3,3,3,3,3,2
CS - Computer Science,4,4,3,1,3,4,4,4,1,3,Coding the core software components and optimizing their performance,3D animator/modeller,Developing data analytics and predictive models,4,4,4,4,4,2,1,3,3,2,1,2,2,2,2,2,2,3,1,3,1,2,4,4
CS - Computer Science,4,3,3,2,4,3,4,2,4,3,Evaluating the system architecture and identifying potential vulnerabilities,Game QA tester,Developing software components according the requirements,3,4,4,4,4,3,2,2,2,2,3,4,3,3,2,3,2,3,2,2,3,2,3,3
SE - Software Engineering,4,2,3,3,3,4,4,4,2,3,Analyzing complex datasets to uncover meaningful insights and patterns,3D animator/modeller,Ensuring that application is secured and safe from cyber threats,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,4,4,3,3,3
SE - Software Engineering,4,1,3,1,4,4,4,3,1,2,Evaluating the system architecture and identifying potential vulnerabilities,Game QA tester,Ensuring that application is secured and safe from cyber threats,3,4,3,4,3,4,2,1,3,4,3,4,4,4,4,3,4,1,3,3,4,1,4,3
SE - Software Engineering,4,1,4,1,3,1,4,2,1,2,Evaluating the system architecture and identifying potential vulnerabilities,Game QA tester,Developing software components according the requirements,4,3,2,2,3,4,1,2,1,4,1,2,4,3,4,4,4,3,2,3,1,3,4,3
DB - Database and Intelligent System,4,1,1,2,2,3,4,2,1,2,Analyzing complex datasets to uncover meaningful insights and patterns,3D animator/modeller,Ensuring that application is secured and safe from cyber threats,4,3,3,2,4,2,4,3,3,2,2,1,3,3,3,4,3,3,1,2,3,3,2,2
CS - Computer Science,4,1,4,1,3,3,4,2,1,2,Coding the core software components and optimizing their performance,3D animator/modeller,Developing data analytics and predictive models,2,2,4,4,4,1,1,1,1,1,1,4,2,4,1,3,4,4,1,1,1,4,1,4
DB - Database and Intelligent System,4,1,2,4,1,1,4,1,1,2,Coding the core software components and optimizing their performance,Game network engineer,Ensuring compliance with healthcare information standards requirements,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4
CS - Computer Science,4,2,2,1,4,4,3,1,3,2,Coding the core software components and optimizing their performance,Game QA tester,Developing data analytics and predictive models,4,4,4,4,4,3,2,1,4,1,1,3,2,4,4,3,4,4,1,4,2,2,2,3
CS - Computer Science,4,4,4,1,4,4,3,3,3,4,Coding the core software components and optimizing their performance,Game QA tester,Developing data analytics and predictive models,3,4,4,3,3,3,2,1,4,2,2,3,2,4,3,4,4,3,1,2,1,1,2,4
CS - Computer Science,4,2,3,2,3,2,2,2,2,3,Coding the core software components and optimizing their performance,Game QA tester,Developing software components according the requirements,4,3,4,4,3,4,4,2,4,3,2,2,4,3,3,3,4,4,2,3,2,2,3,4
CS - Computer Science,4,3,4,3,3,3,3,3,3,3,Coding the core software components and optimizing their performance,Game network engineer,Developing software components according the requirements,3,3,3,2,3,2,2,3,2,3,2,3,2,3,3,3,3,2,1,2,2,3,3,3
DB - Database and Intelligent System,4,2,3,1,3,2,4,1,3,4,Analyzing complex datasets to uncover meaningful insights and patterns,Game QA tester,Designing the database schema and infrastructure to store the data,3,3,4,4,4,3,2,3,1,2,2,3,3,4,4,4,4,4,2,1,1,2,3,3
SE - Software Engineering,4,2,3,1,3,1,4,1,1,2,Coding the core software components and optimizing their performance,Game QA tester,Developing software components according the requirements,1,3,2,3,2,4,2,1,1,4,2,1,4,4,2,3,4,3,3,1,3,1,3,2
CS - Computer Science,4,4,4,4,4,1,3,1,1,1,Coding the core software components and optimizing their performance,Game QA tester,Ensuring compliance with healthcare information standards requirements,1,1,4,4,4,4,2,1,1,1,1,1,4,4,4,4,3,3,1,1,3,2,2,4
CS - Computer Science,4,4,4,1,4,4,4,4,4,3,Coding the core software components and optimizing their performance,Game QA tester,Developing software components according the requirements,4,4,4,4,3,4,1,1,4,1,3,3,1,4,4,3,4,3,3,4,1,1,2,4
DB - Database and Intelligent System,4,2,4,4,4,1,4,1,4,4,Evaluating the system architecture and identifying potential vulnerabilities,Game QA tester,Ensuring that application is secured and safe from cyber threats,1,4,4,4,4,3,2,1,1,2,3,3,3,4,4,4,3,4,4,2,3,2,3,3
