Which track are you currently in,Did you enjoy your track courses,Scikitlearn,PowerBI,Unity,MySQL,Blender,MongoDB,Imagine youre working on a team project Which role would you be most excited to take on,Assuming that youre working for a game industry which of the following careers do you most prefer based on your interests and skills,A healthcare organization has approached your team to create a new digital health application Which of the following would you be most interested to contribute to2,Creating interactive 3D animations and simulations to engage students,Integrating intelligent techniques for personalized learning and adaptive content delivery,Learn about different ML models and implement them using numpypandas scikitlearn or tensorflow libraries to tune the model,Learn about different techniques to create a handson database project from analyzing requirements designing and implementing database system,Learn about various techniques used to test software to ensure correctness and quality,Learn about SCM CRM and decision support system and business intelligent BI systems,Implement lowlevel 3D graphics to simulate vertices modelviewprojection matrix and lightning using OpenGL with CC language,Create handson software project stepbystep analyzing requirements creating diagrams and implementing software with design rules,Analyzing the business requirements and defining the system architecture,Implementing efficient algorithms and data structures to optimize the systems performance,Integrating the system with databases business intelligence tools and data analytics,FullStack Web Developer Design and develop both frontend and backend components of web  applications implement efficient algorithms and data structures ensure  software quality through testi,Data Engineer Design and manage database systems implement data warehousing  and data mining solutions develop intelligent systems for pattern  recognition and knowledge management,3D Animator Create 3D animations and visual effects for movies games or  multimedia applications develop computer graphics and character  animations optimize rendering performance,Business Intelligence Consultant Analyze business processes and requirements implement ebusiness  platforms and customer relationship management systems develop  decision support and business,IT Project Manager Manage IT projects and resources within an organization analyze  and design business processes implement decision support and business  intelligence solutions ensure project,Machine Learning Engineer Develop and deploy machine learning models implement efficient  algorithms and data structures apply computer science theories to solve  complex problems work on mach,track_rank1,track_rank2,track_rank3,subj_rank1,subj_rank2,subj_rank3
DB - Database and Intelligent System,Yes,2,4,2,4,4,4,Analyzing complex datasets to uncover meaningful insights and patterns,3D animator/modeller,Developing data analytics and predictive models,4,3,3,4,2,3,3,3,3,3,3,4,3,2,3,2,2,DB - Database and Intelligent System,CS - Computer Science,MM - Multimedia Systems,Database Management System,Artificial Intelligence,Data Structures and Algorithms
MM - Multimedia Systems,Yes,1,1,3,1,4,1,"Managing the project timeline, requirements, and stakeholder communication",3D animator/modeller,Ensuring compliance with healthcare information standards requirements,4,2,4,2,3,3,4,2,4,2,2,1,1,4,4,3,1,MM - Multimedia Systems,SE - Software Engineering,EB - Electronic Business Systems,Introduction to Web Programming,Introduction to Multimedia Systems,Introduction to Software Engineering
CS - Computer Science,Yes,3,1,4,3,4,3,Coding the core software components and optimizing their performance,3D animator/modeller,Developing software components according the requirements,3,4,3,3,3,4,4,2,3,3,3,4,3,4,3,2,3,CS - Computer Science,MM - Multimedia Systems,SE - Software Engineering,Introduction to Web Programming,Information Retrieval,Database Management System
SE - Software Engineering,Yes,2,2,1,3,2,3,"Managing the project timeline, requirements, and stakeholder communication",Business Analyst,Developing software components according the requirements,3,3,3,3,3,4,1,3,4,2,4,2,3,1,4,4,1,DB - Database and Intelligent System,CN - Computer Networks,MS - Management Information Systems,Data Structures and Algorithms,Introduction to Web Programming,Artificial Intelligence
MM - Multimedia Systems,Yes,1,1,4,2,3,2,Coding the core software components and optimizing their performance,Game QA tester,Developing software components according the requirements,4,2,2,2,4,1,4,2,2,1,1,2,2,3,1,3,2,MM - Multimedia Systems,CS - Computer Science,SE - Software Engineering,Introduction to Multimedia Systems,Introduction to Software Engineering,Artificial Intelligence
DB - Database and Intelligent System,Yes,1,4,3,4,2,4,Analyzing complex datasets to uncover meaningful insights and patterns,Business Analyst,Developing data analytics and predictive models,3,4,3,4,3,3,3,4,4,4,4,3,4,2,2,3,4,DB - Database and Intelligent System,SE - Software Engineering,CS - Computer Science,Database Management System,Artificial Intelligence,Computer Data Communication
SE - Software Engineering,Yes,1,1,2,4,1,1,"Managing the project timeline, requirements, and stakeholder communication",3D animator/modeller,Developing data analytics and predictive models,1,1,1,4,4,4,1,4,4,4,4,2,3,1,4,4,1,SE - Software Engineering,DB - Database and Intelligent System,CS - Computer Science,Information Retrieval,Data Structures and Algorithms,Introduction to Web Programming
SE - Software Engineering,Yes,1,2,3,4,3,3,Evaluating the system architecture and identifying potential vulnerabilities,Game QA tester,Ensuring compliance with healthcare information standards requirements,3,3,2,2,4,2,2,4,4,3,4,3,4,2,2,4,4,SE - Software Engineering,CS - Computer Science,DB - Database and Intelligent System,Database Management System,Introduction to Software Engineering,Introduction to Multimedia Systems
CS - Computer Science,Yes,2,2,2,4,3,2,"Managing the project timeline, requirements, and stakeholder communication",3D animator/modeller,Ensuring compliance with healthcare information standards requirements,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,CS - Computer Science,SE - Software Engineering,CN - Computer Networks,Data Structures and Algorithms,Information Retrieval,Introduction to Software Engineering
CS - Computer Science,Yes,4,1,1,3,1,2,Coding the core software components and optimizing their performance,3D animator/modeller,Developing software components according the requirements,2,2,3,3,3,1,1,2,1,2,2,3,3,2,1,1,4,CS - Computer Science,DB - Database and Intelligent System,SE - Software Engineering,Artificial Intelligence,Introduction to Software Engineering,Introduction to Web Programming
DB - Database and Intelligent System,Yes,4,4,1,4,1,4,Analyzing complex datasets to uncover meaningful insights and patterns,Business Analyst,Developing data analytics and predictive models,1,4,4,3,1,3,1,3,3,2,4,1,4,1,3,2,4,DB - Database and Intelligent System,SE - Software Engineering,CS - Computer Science,Database Management System,Artificial Intelligence,Introduction to Software Engineering
CS - Computer Science,Yes,3,2,3,3,3,3,Coding the core software components and optimizing their performance,3D animator/modeller,Developing software components according the requirements,3,3,4,3,3,2,2,2,3,3,1,2,3,3,2,3,3,CS - Computer Science,SE - Software Engineering,DB - Database and Intelligent System,Introduction to Software Engineering,Database Management System,Artificial Intelligence
DB - Database and Intelligent System,Yes,1,4,2,4,2,4,Analyzing complex datasets to uncover meaningful insights and patterns,Business Analyst,Designing the database schema and infrastructure to store the data,3,3,4,4,4,4,1,3,4,3,4,1,4,4,4,4,3,DB - Database and Intelligent System,SE - Software Engineering,MM - Multimedia Systems,Database Management System,Artificial Intelligence,Introduction to Software Engineering
CS - Computer Science,Yes,3,3,3,3,4,3,Evaluating the system architecture and identifying potential vulnerabilities,3D animator/modeller,Ensuring compliance with healthcare information standards requirements,4,3,4,3,4,2,3,4,4,3,4,3,3,3,3,3,2,CS - Computer Science,HT - Health Information Technology,SE - Software Engineering,Database Management System,Introduction to Software Engineering,Management Information Systems
MM - Multimedia Systems,Yes,1,1,4,2,4,1,"Managing the project timeline, requirements, and stakeholder communication",3D animator/modeller,Ensuring that application is secured and safe from cyber threats,4,3,2,1,1,1,3,1,1,1,1,2,2,4,1,1,1,MM - Multimedia Systems,CS - Computer Science,SE - Software Engineering,Introduction to Multimedia Systems,Artificial Intelligence,Computer Data Communication
CS - Computer Science,Yes,4,1,4,4,4,3,Coding the core software components and optimizing their performance,3D animator/modeller,Developing data analytics and predictive models,4,4,4,4,2,1,3,2,2,2,2,2,3,3,1,4,4,CS - Computer Science,DB - Database and Intelligent System,SE - Software Engineering,Artificial Intelligence,Introduction to Web Programming,Database Management System
CS - Computer Science,Yes,3,2,3,4,2,3,Evaluating the system architecture and identifying potential vulnerabilities,Game QA tester,Developing software components according the requirements,3,4,4,4,3,2,2,2,3,3,3,2,3,2,3,3,3,CS - Computer Science,SE - Software Engineering,DB - Database and Intelligent System,Artificial Intelligence,Data Structures and Algorithms,Computer Data Communication
SE - Software Engineering,Yes,2,3,4,4,4,3,Analyzing complex datasets to uncover meaningful insights and patterns,3D animator/modeller,Ensuring that application is secured and safe from cyber threats,4,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,SE - Software Engineering,MM - Multimedia Systems,EB - Electronic Business Systems,Database Management System,Introduction to Web Programming,Introduction to Software Engineering
MM - Multimedia Systems,Yes,2,2,4,3,4,2,Evaluating the system architecture and identifying potential vulnerabilities,Game QA tester,Developing data analytics and predictive models,4,2,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,MM - Multimedia Systems,DB - Database and Intelligent System,CN - Computer Networks,Introduction to Multimedia Systems,Artificial Intelligence,Introduction to Web Programming
DB - Database and Intelligent System,Yes,1,3,1,3,4,3,"Managing the project timeline, requirements, and stakeholder communication",Business Analyst,Ensuring that application is secured and safe from cyber threats,4,4,3,3,4,3,2,4,3,2,3,1,2,3,3,4,1,DB - Database and Intelligent System,MM - Multimedia Systems,HT - Health Information Technology,Database Management System,Artificial Intelligence,Introduction to Web Programming
SE - Software Engineering,Yes,1,1,4,4,3,2,Evaluating the system architecture and identifying potential vulnerabilities,Game QA tester,Ensuring that application is secured and safe from cyber threats,3,4,3,3,4,2,3,4,4,4,3,4,1,3,4,4,3,MS - Management Information Systems,SE - Software Engineering,MM - Multimedia Systems,Management Information Systems,Introduction to Multimedia Systems,Introduction to E-business Systems
MM - Multimedia Systems,Yes,1,1,4,3,4,3,Evaluating the system architecture and identifying potential vulnerabilities,3D animator/modeller,Developing software components according the requirements,4,3,3,2,2,1,4,3,3,3,2,3,2,4,2,3,4,MM - Multimedia Systems,CS - Computer Science,SE - Software Engineering,Introduction to Multimedia Systems,Artificial Intelligence,Data Structures and Algorithms
SE - Software Engineering,Yes,1,1,1,4,2,2,Evaluating the system architecture and identifying potential vulnerabilities,Game QA tester,Developing software components according the requirements,4,3,2,3,4,1,1,4,4,3,4,4,3,3,1,4,3,SE - Software Engineering,CS - Computer Science,DB - Database and Intelligent System,Introduction to Web Programming,Database Management System,Introduction to Software Engineering
MM - Multimedia Systems,Yes,1,1,4,3,4,2,"Managing the project timeline, requirements, and stakeholder communication",3D animator/modeller,Ensuring compliance with healthcare information standards requirements,4,4,2,2,4,4,4,2,4,3,2,3,2,4,3,4,3,MM - Multimedia Systems,CS - Computer Science,MS - Management Information Systems,Introduction to Multimedia Systems,Introduction to E-business Systems,Management Information Systems
DB - Database and Intelligent System,Yes,1,2,3,4,2,2,Analyzing complex datasets to uncover meaningful insights and patterns,3D animator/modeller,Ensuring that application is secured and safe from cyber threats,4,3,3,4,2,4,3,2,3,3,4,3,3,2,3,2,2,DB - Database and Intelligent System,EB - Electronic Business Systems,SE - Software Engineering,Database Management System,Artificial Intelligence,Introduction to E-business Systems
CS - Computer Science,Yes,1,1,3,4,2,2,Coding the core software components and optimizing their performance,3D animator/modeller,Developing data analytics and predictive models,2,2,4,4,1,1,1,1,2,4,3,4,4,1,1,1,4,CS - Computer Science,DB - Database and Intelligent System,SE - Software Engineering,Introduction to Web Programming,Database Management System,Artificial Intelligence
DB - Database and Intelligent System,Yes,1,4,1,4,1,2,Coding the core software components and optimizing their performance,Game network engineer,Ensuring compliance with healthcare information standards requirements,2,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,DB - Database and Intelligent System,SE - Software Engineering,EB - Electronic Business Systems,Introduction to Web Programming,Management Information Systems,Artificial Intelligence
CS - Computer Science,Yes,2,1,4,3,1,2,Coding the core software components and optimizing their performance,Game QA tester,Developing data analytics and predictive models,4,4,4,4,3,2,4,1,2,4,3,4,4,4,2,2,3,CS - Computer Science,MM - Multimedia Systems,DB - Database and Intelligent System,Information Retrieval,Data Structures and Algorithms,Artificial Intelligence
SE - Software Engineering,Yes,2,3,3,4,1,2,"Managing the project timeline, requirements, and stakeholder communication",Game QA tester,Ensuring compliance with healthcare information standards requirements,1,4,3,3,4,3,1,3,4,1,3,1,1,1,2,3,2,SE - Software Engineering,DB - Database and Intelligent System,CS - Computer Science,Introduction to Software Engineering,Database Management System,Data Structures and Algorithms
CS - Computer Science,Yes,4,1,4,3,3,4,Coding the core software components and optimizing their performance,Game QA tester,Developing data analytics and predictive models,3,4,4,3,3,2,4,2,2,4,4,4,3,2,1,2,4,MM - Multimedia Systems,CS - Computer Science,SE - Software Engineering,Information Retrieval,Artificial Intelligence,Database Management System
CS - Computer Science,Yes,2,2,2,2,2,3,Coding the core software components and optimizing their performance,Game QA tester,Developing software components according the requirements,4,3,4,3,4,4,4,3,4,3,3,4,4,3,2,3,4,CS - Computer Science,SE - Software Engineering,MM - Multimedia Systems,Artificial Intelligence,Introduction to Web Programming,Database Management System
CS - Computer Science,Yes,3,2,1,4,2,4,Coding the core software components and optimizing their performance,Game QA tester,Developing data analytics and predictive models,2,3,4,4,4,3,2,3,4,4,3,4,4,2,2,3,4,CS - Computer Science,DB - Database and Intelligent System,SE - Software Engineering,Artificial Intelligence,Database Management System,Information Retrieval
CS - Computer Science,Yes,3,1,2,3,1,2,Evaluating the system architecture and identifying potential vulnerabilities,Game network engineer,Developing data analytics and predictive models,1,3,4,3,3,1,1,1,2,3,3,2,3,1,1,1,3,CS - Computer Science,DB - Database and Intelligent System,CN - Computer Networks,Data Structures and Algorithms,Database Management System,Computer Data Communication
DB - Database and Intelligent System,Yes,1,3,2,4,1,4,Analyzing complex datasets to uncover meaningful insights and patterns,Business Analyst,Developing data analytics and predictive models,3,1,4,4,2,3,2,2,4,2,4,2,4,1,4,2,2,DB - Database and Intelligent System,SE - Software Engineering,CS - Computer Science,Database Management System,Introduction to Software Engineering,Introduction to E-business Systems
MM - Multimedia Systems,Yes,2,1,4,3,4,3,Coding the core software components and optimizing their performance,3D animator/modeller,Developing software components according the requirements,4,3,1,3,3,2,4,2,2,3,2,3,3,4,2,1,3,MM - Multimedia Systems,CS - Computer Science,SE - Software Engineering,Introduction to Multimedia Systems,Computer Data Communication,Artificial Intelligence
CS - Computer Science,Yes,3,3,3,3,3,3,Coding the core software components and optimizing their performance,Game network engineer,Developing software components according the requirements,3,3,3,3,2,2,2,3,2,3,3,3,2,2,2,3,3,CS - Computer Science,HT - Health Information Technology,SE - Software Engineering,Introduction to Web Programming,Introduction to Software Engineering,Introduction to Multimedia Systems
MM - Multimedia Systems,Yes,1,1,4,4,4,1,Evaluating the system architecture and identifying potential vulnerabilities,3D animator/modeller,Ensuring that application is secured and safe from cyber threats,4,4,4,4,4,4,4,4,2,2,4,1,1,4,4,4,4,MM - Multimedia Systems,EB - Electronic Business Systems,SE - Software Engineering,Management Information Systems,Introduction to E-business Systems,Introduction to Multimedia Systems
DB - Database and Intelligent System,Yes,2,1,2,4,1,4,Analyzing complex datasets to uncover meaningful insights and patterns,Game QA tester,Designing the database schema and infrastructure to store the data,3,3,4,4,3,2,1,2,3,4,4,4,4,1,1,3,3,DB - Database and Intelligent System,CN - Computer Networks,HT - Health Information Technology,Database Management System,Data Structures and Algorithms,Information Retrieval
CS - Computer Science,Yes,4,3,4,4,3,4,Analyzing complex datasets to uncover meaningful insights and patterns,Business Analyst,Developing data analytics and predictive models,3,4,4,4,4,4,4,4,4,4,4,3,4,2,4,3,4,CS - Computer Science,DB - Database and Intelligent System,EB - Electronic Business Systems,Artificial Intelligence,Database Management System,Introduction to Web Programming
DB - Database and Intelligent System,Yes,1,2,1,4,4,4,Analyzing complex datasets to uncover meaningful insights and patterns,3D animator/modeller,Designing the database schema and infrastructure to store the data,4,2,2,4,1,2,4,2,2,1,3,1,3,4,2,3,1,DB - Database and Intelligent System,MM - Multimedia Systems,HT - Health Information Technology,Management Information Systems,Database Management System,Introduction to E-business Systems
SE - Software Engineering,Yes,2,1,1,4,1,2,Coding the core software components and optimizing their performance,Game QA tester,Developing software components according the requirements,1,3,2,2,4,2,1,4,4,4,3,4,3,1,3,3,2,SE - Software Engineering,CN - Computer Networks,DB - Database and Intelligent System,Introduction to Software Engineering,Introduction to Web Programming,Computer Data Communication
CS - Computer Science,Yes,4,4,1,3,1,1,Coding the core software components and optimizing their performance,Game QA tester,Ensuring compliance with healthcare information standards requirements,1,1,4,4,4,2,1,1,4,4,4,3,3,1,3,2,4,CS - Computer Science,SE - Software Engineering,DB - Database and Intelligent System,Introduction to Web Programming,Data Structures and Algorithms,Database Management System
CS - Computer Science,Yes,4,1,4,4,4,3,Coding the core software components and optimizing their performance,Game QA tester,Developing software components according the requirements,4,4,4,3,4,1,4,1,1,4,3,4,3,4,1,2,4,CS - Computer Science,SE - Software Engineering,DB - Database and Intelligent System,Artificial Intelligence,Data Structures and Algorithms,Introduction to Web Programming
SE - Software Engineering,Yes,1,1,1,3,1,3,Coding the core software components and optimizing their performance,Game QA tester,Developing software components according the requirements,2,2,2,3,3,2,1,2,2,2,2,2,2,1,1,2,2,SE - Software Engineering,DB - Database and Intelligent System,CS - Computer Science,Introduction to Web Programming,Database Management System,Introduction to Software Engineering
DB - Database and Intelligent System,Yes,2,4,1,4,1,4,Evaluating the system architecture and identifying potential vulnerabilities,Game QA tester,Ensuring that application is secured and safe from cyber threats,1,4,4,4,3,2,1,2,3,4,4,3,4,2,3,3,3,CN - Computer Networks,DB - Database and Intelligent System,CS - Computer Science,Computer Data Communication,Database Management System,Information Retrieval
CS - Computer Science,Yes,3,2,3,3,4,2,Coding the core software components and optimizing their performance,Game QA tester,Developing software components according the requirements,3,4,3,2,3,2,3,3,3,3,3,2,2,3,3,3,4,CS - Computer Science,SE - Software Engineering,MM - Multimedia Systems,Introduction to Software Engineering,Information Retrieval,Introduction to Web Programming
